"File Time","Total Events","Opens","Closes","Reads","Writes","Read Bytes","Write Bytes","Get ACL","Set ACL","Other","Path"
"0.0001590","18","3","3","0","0","0","0","0","0","12","C:\Anaconda\api-ms-win-core-file-l1-2-0.dll"
"0.0001578","18","3","3","0","0","0","0","0","0","12","C:\Anaconda\api-ms-win-crt-environment-l1-1-0.dll"
"0.0001575","18","3","3","0","0","0","0","0","0","12","C:\Anaconda\api-ms-win-crt-heap-l1-1-0.dll"
"0.0001572","18","3","3","0","0","0","0","0","0","12","C:\Anaconda\api-ms-win-core-timezone-l1-1-0.dll"
"0.0001571","18","3","3","0","0","0","0","0","0","12","C:\Anaconda\api-ms-win-crt-stdio-l1-1-0.dll"
"0.0001556","16","2","2","2","0","6 276","0","0","0","10","C:\Anaconda\Lib\encodings\__pycache__\aliases.cpython-37.pyc"
"0.0001546","18","3","3","0","0","0","0","0","0","12","C:\Anaconda\api-ms-win-crt-convert-l1-1-0.dll"
"0.0001545","18","3","3","0","0","0","0","0","0","12","C:\Anaconda\api-ms-win-core-localization-l1-2-0.dll"
"0.0001538","18","3","3","0","0","0","0","0","0","12","C:\Anaconda\api-ms-win-crt-time-l1-1-0.dll"
"0.0001518","18","3","3","0","0","0","0","0","0","12","C:\Anaconda\api-ms-win-crt-locale-l1-1-0.dll"
"0.0001515","16","2","2","2","0","3 927","0","0","0","10","C:\Anaconda\Lib\encodings\__pycache__\__init__.cpython-37.pyc"
"0.0001503","18","3","3","0","0","0","0","0","0","12","C:\Anaconda\api-ms-win-crt-string-l1-1-0.dll"
"0.0001456","23","5","5","0","0","0","0","0","0","13","C:\Windows\System32\kernel32.dll"
"0.0001456","16","2","2","2","0","33 878","0","0","0","10","C:\Anaconda\Lib\__pycache__\codecs.cpython-37.pyc"
"0.0001446","18","3","3","0","0","0","0","0","0","12","C:\Anaconda\api-ms-win-core-synch-l1-2-0.dll"
"0.0001440","16","2","2","2","0","19 880","0","0","0","10","C:\Anaconda\Lib\__pycache__\contextlib.cpython-37.pyc"
"0.0001328","11","2","2","3","0","123 930","0","0","0","4","D:\GoldenDict\ruenru\En-Ru-Apresyan.txt"
"0.0001261","12","1","1","0","0","0","0","0","0","10","C:\Anaconda\python.exe"
"0.0001253","16","2","2","2","0","29 673","0","0","0","10","C:\Anaconda\Lib\__pycache__\os.cpython-37.pyc"
"0.0001240","16","2","2","2","0","46 590","0","0","0","10","C:\Anaconda\Lib\collections\__pycache__\__init__.cpython-37.pyc"
"0.0001231","11","2","2","3","0","124 650","0","0","0","4","D:\GoldenDict\ruenru\Ru-En-Smirnitsky.rtf"
"0.0001225","16","2","2","2","0","5 330","0","0","0","10","C:\Anaconda\Lib\__pycache__\reprlib.cpython-37.pyc"
"0.0001207","11","2","2","3","0","128 730","0","0","0","4","D:\GoldenDict\ruenru\En-Ru-Apresyan_abrv.dsl"
"0.0001204","8","2","2","0","0","0","0","0","0","4","C:\Anaconda\Lib\_bootlocale.py"
"0.0001203","16","2","2","2","0","1 789","0","0","0","10","C:\Anaconda\Lib\__pycache__\keyword.cpython-37.pyc"
"0.0001188","16","2","2","2","0","13 880","0","0","0","10","C:\Anaconda\Lib\__pycache__\operator.cpython-37.pyc"
"0.0001174","11","2","2","3","0","123 964","0","0","0","4","D:\GoldenDict\ruenru\En-Ru-Apresyan.ann"
"0.0001170","16","2","2","2","0","1 594","0","0","0","10","C:\Anaconda\Lib\encodings\__pycache__\utf_8.cpython-37.pyc"
"0.0001148","16","2","2","2","0","28 922","0","0","0","10","C:\Anaconda\Lib\__pycache__\_collections_abc.cpython-37.pyc"
